,RAW DATA
0,What ifs
1,seniority
2,familiarity
3,functionalities
4,Lambdas
5,Java Streams
6,Object Oriented analysis
7,Relational Databases
8,SQL
9,ORM
10,JPA
11,Hibernate
12,MyBatis
14,code versioning tools
15,Git.. Familiarity
16,Maven
17,Gradle.. Familiarity
18,continuous integration
19,continuous delivery development processes
20,jenkins
21,bamboo
22,Familiarity
23,frameworks
24,transformations
25,analytical reporting
26,conceptual data models
27,standard naming conventions
28,coding practices
29,consistency
30,optimized solutions
31,methodologies
32,high throughput data access services
33,analyze/profile data
34,"conceptual, logical & physical data model designs"
35,reporting and analytics solutions
36,physical databases
37,variances
38,discrepancies
39,all phases
40,integrations
41,Demonstrable experience
42,logical and physical data models
43,interpersonal skills
44,modern enterprise data architectures
45,data toolsets
46,e.g.: data warehouse
47,data marts
48,modeling tools
49,profiling tools
50,Bachelor or Master degree
51,STEM majors
52,Strong algorithms
53,coding background
54,either Java
55,Python
56,Scala programming experience
57,Exceptional proficiency
59,each following distributed technologies
60,  Relational Stores
61,i.e. Postgres
62,MySQL
63,Oracle
64,NoSQL Stores
65,(i.e. Big Query
66,Clickhouse
67,Distributed Processing Engines
68,i.e. Apache Spark
69,Apache Flink
70,Celery
71,Distributed Queues
72,i.e. Apache Kafka
73,AWS Kinesis
74,GCP PusSub
75,standard methodologies
76,GCP
77,Azure
78,AWS
79,similar cloud platform technologies
80,persuasion
81,experience building cloud environments
82,Excellent Unix/Linux experience and programming experience
83,scripting
84,"python, shell"
85,IPC mechanisms
86,TCP/IP
87,Kafka
88,zmq
89,grpc
90,microservice architecture
91,orchestration
92,docker
93,kubernetes
94,cloud environments
95,etcd
96,service meshes
97,envoy
98,vault
99,API gateways
100,load balancers
101,databases
103,sql/nosql
104,columnar databases
105,distributed consensus
106,CAP Theorem
107,RAFT
108,"map-reduce, reliable multicast"
109,Paxos
110,CI/CD
111,Github
112,Makefiles
113,Microservices
115,GCPNode.js
116,REST APIs servicesExperience writing tools
117,Ruby
118,PerlExperience
119,Bazel
120,toolingScala programming experienceKnowledge
121,HTTP /websocket
122,binary protocolsExperience
123,Redis
167,Web UIExperience
168,JavaScript
169,HTML
170,CSS
171,algorithms
172,standard (WC) Web UI APIs
173,the following types frameworks/libraries/languages
174,Angular
175,Meteor
176,Ember
177,Knockout
178,UI Component libraries
179,Vue
180,Bootstrap
181,ES
182,TypeScript
183,Dependency injection patterns
184,Async Module Definition
185,"AMD, requireJS"
186,commonJS
187,Stylesheet languages
188,SASS
189,Redux
190,Reactive Programming
191,RxJS
192,JavaStrong programming skills
193,lambdas
194,optionals
195,Guice knowledge
196,Protobuf knowledge
197,:Familiarity
198,consuming service oriented architecture layers
199,APIs
200,highly scalable applications
201,Web UI:Deep understanding
202,JSON
203,JavaScript Design
204,Architectural Patterns
205,Proficiency
207,", Eclipse/NetBeans/IntelliJ"
208,Spring/Guice
209,JPA/Hibernate
210,JavaExperience
211,highly distributed and scalable systems
212,Containers knowledge
213,Multi-threaded concepts
214,latency
215,heap
216,profiling
217,distributed troubleshooting
218,NoSQL
219,MongoDB
220,Cassandra
222,Java Application Servers
223,Oracle WebLogic
224,JBoss
225,Tomcat
227,Jasmine
228,Karma
229,Protractor
230,Junit
231,Cross-browser techniques
232,Chrome Dev Tools
233,Responsive design implementation
234,Browser performance auditing
235,tuning
236,distributed code repositories
237,"(Git, Perforce"
238,Scrum / Kanban
239,Guice
240,GRPC
241,-
243,/BTech/BS
244,Excellent analytical and problem-solving skills
245,Proven-deep-expertise
246,Python programming
249,Django
250,Flask
252,any RDBMS and strong SQL knowledge
253,Unix / Linux command line
254,Object-oriented concepts
256,UI frameworks
258,usability design
259,Hadoop / Hive / Presto
260,ML/AI frameworks
261,TensorFlow
262,H
263,noSQL databases
264,docker and container platforms
265,Mesos
266,Kubernetes
267,Application benchmarking
268,optimization
269,Building user interface applications
270,analytical devices
271,measurement and control algorithms
272,UI Applications
273,"analytical, medical, or automotive devices"
275,programming user interfaces
276,the Qt Framework
277,QML
278,Qt/C++
279,regulated markets
280,embedded Linux-Systems
281,RasPi
282,BeagleBone
284,IP-based network protocols
285,the Linux-Yocto distribution
286,Myntra’s new product platforms
287,mentor
288,Architects
289,DevOps engineers
290,architectural and design best practices
291,deployment
292,scaling
293,availability characteristics
294,the long-term architectural direction
295,platforms/ reusable components
296,a nimble delivery process
297,reliability
298,extensibility
299,deliverables
300,next generation extensible web
301,mobile and fashion commerce platforms
302,security protocols
303,customisation
304,continuous scaling
305,internationalization
306,extensions
307,the architectural governance
308,directional paths
309,new technology stacks
310,multiple technology domains
311,Myntra
312,external technical forums
313,business stakeholders
315,"term, long-term roadmaps"
316,excellent abstraction
317,coding
318,a startup/e-commerce ecosystem
319,a high growth & matrix environment
320,an efficient proficient problem-solver
321,business and technical perspectives
322,workable solutions
323,leading product development end-end (portfolio
325,architectures
326,multi-million sessions/transactions
327,rdbms & NoSQL stores
328,massively large scale distributed internet systems
329,Java/GO
330,multi-threading and performance oriented programming
331,highly scalable products
333,queues
335,object-oriented programming
336,concurrency
337,fundamentals
338,Developing user-facing web applications
339,"reusable, modular code"
340,Bachelor
341,Backend services
342,React JS
343,JS/TypeScript
345,Webpack bundling
346,Dev tools
347,markup languages
348,HTML
349,CSS
351,pre-processing platforms
353,SCSS
354,Mysql
355,Postgres
356,Data modeling skills
357,the testing frameworks
358,code versioning tool - Git
361,a standardized IT methodology
362,Detail Design phases
363,outputs
364,architectural development
365,modifications
366,specifications
367,congruence
368,the compatibility
369,interdependent technologies
370,computing related technology programs
371,Minimum  year Java design and development experience
372,Spring and Hibernate based solutions
373,technical expertise
374,statistical programming tasks
376,the Statistical Programming department
377,High-Quality Deliverables
378,more complex assigned tasks
379,appropriate validation requirements
380,SOPs
381,Checks programming logs
382,cleanliness
383,Inputs
384,programming specifications datasets
385,datasets
386,Handles
387,dataset derivations
388,Programs TLFs
389,biostatistical tools
390,questions specification
392,lead programmer
393,the Biostatistical Team Lead
394,supervisor
395,project specific macros
397,timely progress updates
398,EAC
399,documents timelines
400,BIOSETUP
401,integrated databases
402,project macros
403,SAP
404,shells
405,programming specifications
406,safety outputs
407,Shares accountability
408,contract and budget assumptions
409,rework
410,mentors junior staff
411,(QC) review
412,define xmls
413,ADaM reviewers guide
414,SDRG
415,ADRG
416,lead programmer role
417,proactive approach
418,efficiencies
419,protocols
420,RFPs
421,bid defenses
422,operational topics
423,Master's Degree Computer science
424,Bachelor's Degree Computer science
425,CDISC/ADaM/SDTM
426,Base SAS
427,SAS/STAT
428,SAS Macro Language
429,"Good organizational, interpersonal, leadership and communication skills"
430,coworkers
431,"a talented, enthusiastic, and detail-oriented Data Engineer"
432,an agile way
433,analysis data modeling
435,big data pipelines
436,the Data Analytics team
437,Coda
438,data pipelines
439,analytical techniques
440,insights
441,ETL
443,AWS technologies
444,Redshift
445,S
446,EMR
447,EC
448,DynamoDB
449,Kinesis Firehose
450,Lambda
451,ML teams
452,new behavioural events
453,pipelines
455,our offline analytics capabilities
456,Tableau
457,our real time dash boarding capabilities
458,Bachelor’s degree
459,a similar quantitative field
461,another columnar store DW
462,cloud solutions / AWS / Azure / Google cloud
463,data visualization
464,Hadoop/MapReduce/AWS
466,Spark/Scala/PySpark/ Apache Kafka / Kinesis Streams / AWS Glue
467,reporting/analytics platforms
468,Experience building flexible data APIs
469,the business Preferred Qualifications
470,a data/software developer/scientist
471,predictive analytics/decision models
472,data mining libraries
473,algorithm design
474,problem solving
475,Agile Development
476,Collaborative Filtering
477,our iOS mobile application
478,high visibility
479,the fundamentals
481,relevant SWE experience
482,iOS apps
483,"Preferably, apps"
484,the AppStore
485,XCode.. Experience
486,(MVVM
488,Multi-threading and performance & memory optimization
489,RESTful APIs
490,Proficient understanding
492,Git
493,individual projects priorities
494,deadlines
496,your technical expertise
497,bottlenecks
498,our software stack
499,Rubrik Software Engineers
500,self-starters
501,a limitless drive
503,Master’s degree
505,Scala
507,Google Cloud Platform/AWS/Azure
508,Unix/Linux environments
509,Windows environments
510,networking
511,hypervisors
518,granular file recovery
519,Kubernetes Service
521,elastic compute
522,technical specifications
523,a concise and effective manner
524,agile activities
525,sprint planning
526,thorough knowledge
527,key architectural decisions
528,design considerations
529,detailed RCA
531,master’s degree
532,object-oriented languages
533,developing Microservices
534,RESTful services
535,other SOA development experience
536,preferably AWS
538,Entity Framework
539,Nhibernate
540,Strong TDD approach
541,Nunit
542,xUnit
544,OOP and SOLID design principles
545,public cloud providers
547,modern java script frameworks
548,Highly efficient data persistent design techniques
549,data retrieval performance
550,(queries
551,designs/queries
552,Proficient experience
553,relational databases
554,Microsoft SQL Server/Postgres
555,other non-relational DBs
558,parallel work streams
559,Agile practices
560,Debugging/Troubleshooting functional and technical issues
561,Performance/Optimization techniques
562,proactively codes
563,"Excellent analytical, quantitative, and problem-solving abilities"
565,minimal oversight
566,multiple concurrent priorities
567,a fast-paced environment
568,Strong interpersonal
569, Utilizes knowledge
570,Xamarin
571, Transforms business requirements
573,a DevOps model
574,debug
575, Generating testing and test cases
576,uniformity
578,various prototypes
579, Bachelor’s degree
580,LINQ
581,Rest APIs
582,Xamarin Forms
583,Xamarin Native development
584,"(Xamarin iOS, Xamarin Droid"
585,Xamarin Studio
587,both Apple iOS and Android platforms
588,Xamarin Apps
589,UWP
590,XAML
591,e.g. Azure integrations
592,Azure Active Directory
593,Notifications
594,HockeyApp/Visual Studio App Center
595,Continuous Integration
596,CI
597,DevOps
598,Automation Testing
600,Xamarin Profiler
601,Various code repositories
603,TFS
604,MVVM Architecture
605,an Agile methodology
606,VSTS
607,Overall Cross Platform app development ecosystem
608,lifecycle
609,roadmaps
610,Portable Class Library
611,PCL
612,SQLite
613,cross-platform UX design
614,Xamarin Binding
